2004-01-22 00:00:00 {'A': 1917, 'B': 2228, 'C': 3192, 'D': 2243, 'E': 3553}
2004-01-23 00:00:00 {'A': 1919, 'B': 2226, 'C': 3203, 'D': 2248, 'E': 3527}
2004-01-24 00:00:00 {'A': 1919, 'B': 2226, 'C': 3203, 'D': 2248, 'E': 3527}
2004-01-25 00:00:00 {'A': 1919, 'B': 2226, 'C': 3203, 'D': 2248, 'E': 3527}
2004-01-26 00:00:00 {'A': 1913, 'B': 2244, 'C': 3185, 'D': 2280, 'E': 3524}
2004-01-27 00:00:00 {'A': 1918, 'B': 2230, 'C': 3193, 'D': 2278, 'E': 3514}
2004-01-28 00:00:00 {'A': 1930, 'B': 2214, 'C': 3196, 'D': 2247, 'E': 3521}
2004-01-29 00:00:00 {'A': 1937, 'B': 2232, 'C': 3177, 'D': 2257, 'E': 3504}
2004-01-30 00:00:00 {'A': 1935, 'B': 2224, 'C': 3182, 'D': 2252, 'E': 3514}
2004-01-31 00:00:00 {'A': 1935, 'B': 2224, 'C': 3182, 'D': 2252, 'E': 3514}
2004-02-01 00:00:00 {'A': 1935, 'B': 2224, 'C': 3182, 'D': 2252, 'E': 3514}
2004-02-02 00:00:00 {'A': 2091, 'B': 3002, 'C': 2915, 'D': 1135, 'E': 3731}
2004-02-03 00:00:00 {'A': 2096, 'B': 3011, 'C': 2905, 'D': 1131, 'E': 3729}
2004-02-04 00:00:00 {'A': 2110, 'B': 3007, 'C': 2890, 'D': 1145, 'E': 3703}
2004-02-05 00:00:00 {'A': 2108, 'B': 3008, 'C': 2907, 'D': 1153, 'E': 3677}
2004-02-06 00:00:00 {'A': 2099, 'B': 3032, 'C': 2910, 'D': 1152, 'E': 3676}
2004-02-07 00:00:00 {'A': 2099, 'B': 3032, 'C': 2910, 'D': 1152, 'E': 3676}
2004-02-08 00:00:00 {'A': 2099, 'B': 3032, 'C': 2910, 'D': 1152, 'E': 3676}
2004-02-09 00:00:00 {'A': 2099, 'B': 3026, 'C': 2928, 'D': 1145, 'E': 3665}
2004-02-10 00:00:00 {'A': 2097, 'B': 3037, 'C': 2926, 'D': 1141, 'E': 3665}
2004-02-11 00:00:00 {'A': 2087, 'B': 3056, 'C': 2919, 'D': 1142, 'E': 3683}
2004-02-12 00:00:00 {'A': 2088, 'B': 3046, 'C': 2923, 'D': 1144, 'E': 3678}
2004-02-13 00:00:00 {'A': 2091, 'B': 3033, 'C': 2923, 'D': 1145, 'E': 3683}
2004-02-14 00:00:00 {'A': 2091, 'B': 3033, 'C': 2923, 'D': 1145, 'E': 3683}
2004-02-15 00:00:00 {'A': 2091, 'B': 3033, 'C': 2923, 'D': 1145, 'E': 3683}
2004-02-16 00:00:00 {'A': 2091, 'B': 3033, 'C': 2923, 'D': 1145, 'E': 3683}
2004-02-17 00:00:00 {'A': 2086, 'B': 3053, 'C': 2930, 'D': 1141, 'E': 3674}
2004-02-18 00:00:00 {'A': 2088, 'B': 3045, 'C': 2936, 'D': 1137, 'E': 3669}
2004-02-19 00:00:00 {'A': 2094, 'B': 3042, 'C': 2944, 'D': 1141, 'E': 3642}
2004-02-20 00:00:00 {'A': 2098, 'B': 3040, 'C': 2951, 'D': 1149, 'E': 3616}
2004-02-21 00:00:00 {'A': 2098, 'B': 3040, 'C': 2951, 'D': 1149, 'E': 3616}
2004-02-22 00:00:00 {'A': 2098, 'B': 3040, 'C': 2951, 'D': 1149, 'E': 3616}
2004-02-23 00:00:00 {'A': 2103, 'B': 3039, 'C': 2963, 'D': 1147, 'E': 3593}
2004-02-24 00:00:00 {'A': 2104, 'B': 3035, 'C': 2949, 'D': 1150, 'E': 3609}
2004-02-25 00:00:00 {'A': 2102, 'B': 3043, 'C': 2952, 'D': 1143, 'E': 3609}
2004-02-26 00:00:00 {'A': 2101, 'B': 3044, 'C': 2957, 'D': 1139, 'E': 3610}
2004-02-27 00:00:00 {'A': 2101, 'B': 3046, 'C': 2970, 'D': 1127, 'E': 3601}
2004-02-28 00:00:00 {'A': 2101, 'B': 3046, 'C': 2970, 'D': 1127, 'E': 3601}
2004-02-29 00:00:00 {'A': 2101, 'B': 3046, 'C': 2970, 'D': 1127, 'E': 3601}
2004-03-01 00:00:00 {'A': 2096, 'B': 3068, 'C': 2975, 'D': 1126, 'E': 3587}
2004-03-02 00:00:00 {'A': 1904, 'B': 2227, 'C': 2636, 'D': 3099, 'E': 3544}
